Общее,,,,,,,,Пласт,,,,,Режим,,,,,,,,,,,Даты,,Потенциал,,,Жидкость,,,,,,Месяц,,,,Насос,,,,,,,Скважина,,,Пакер,,,Давление,,,,,,Дополнительно
,Номер скважины,Куст,Дата,Состояние,СЭ,Рентабельность,,Пласт,Hвд,Удл.,H пер.,Н эфф.,Qн,Qж,%,Р(заб),Pпл,KH,Кпр,Kпрон,Скин-фактор,Rc,H дин,Пуски,Остановки,Qн,Qж,Qж (Д),Газовый фактор,Вязкость,Плотность нефти,Коб,Вязкость жидкости,Плотность воды,Нефть,Жидкость,Т раб,Т нак,Дата,Насос,Произв-ть,Hспуск,Напор,Гц,Текущие,Dэ/к,Dнкт,Dшт,Дата,Пакер,Hпак,Рбуф,Р лин.,Р затр.,Рприем,Н стат,Рзатр при Нстат,Примечание
Добывающая,4001G,КУСТ-1,,РАБ.,ФОН,Да,,НП4,2308,"416,2","760,0","24,0","101,8","121,0","1,0","150,3","167,5","1156,5","7,17","1,5","0,0",250,,3/14/2020,2/29/2020,102,121,121,2112,"1,05","0,850","1,176","1,05","1,005",3156,3751,744,,14/03/2020 2:00:00,Фонтанный лифт с ТМСП,,,,,,"157,2",73,12,,,,"97,0","28,7","118,0","144,5",0,"0,000",
Добывающая,148R,,,РАБ.,ФОН,Да,,НП4,1857,"0,2","15,2","11,8","49,2","58,5","1,0","124,0","138,0","705,7","4,37","46,4","0,0",250,,8/25/2020,8/20/2020,49,58,59,1649,"1,05","0,850","1,176","1,05","1,005",1526,1814,744,,25/08/2020 2:00:01,фонтанный лифт,,,,,,"124,0",73,8,,,,"95,0","28,0","114,0","0,0",0,"0,000",
Добывающая,4055G2,КУСТ-3,июл..2021,РАБ.,ФОН,Да,,НП4,2841,"931,6","1186,7","13,5","147,3","181,0","4,3","132,6","163,2","1049,4","6,43","0,9","0,0",250,,8/18/2019,8/6/2019,147,181,181,1315,"1,05","0,850","1,176","1,07","1,005",4511,5543,735,,18/08/2019 2:00:00,,,,,,,"157,2",89,12,,,,"84,0","28,7","114,0","0,0",0,"0,000",
Добывающая,4001G,КУСТ-1,,РАБ.,ФОН,Да,,НП4,2308,"416,2","760,0","24,0","106,6","127,0","1,3","149,3","166,3","1243,4","7,70","1,6","0,0",250,,3/14/2020,2/29/2020,107,127,127,1917,"1,05","0,850","1,176","1,05","1,005",3305,3937,744,,14/03/2020 2:00:00,Фонтанный лифт с ТМСП,,,,,,"157,2",73,12,,,,"96,0","29,6","119,0","143,7",0,"0,000",
Добывающая,148R,,,РАБ.,ФОН,Да,,НП4,1857,"0,2","15,2","11,8","47,0","55,8","1,0","124,0","135,7","799,9","4,96","52,6","0,0",250,,8/25/2020,8/20/2020,47,56,56,1672,"1,05","0,850","1,176","1,05","1,005",1456,1730,744,,25/08/2020 2:00:01,фонтанный лифт,,,,,,"124,0",73,8,,,,"97,0","28,0","115,0","0,0",0,"0,000",
Добывающая,4055G2,КУСТ-3,июн..2021,РАБ.,ФОН,Да,,НП4,2841,"931,6","1186,7","13,5","158,2","198,0","6,0","130,4","163,2","1085,3","6,60","0,9","0,0",250,,8/18/2019,8/6/2019,158,198,198,1346,"1,05","0,850","1,176","1,07","1,005",4746,5940,720,,18/08/2019 2:00:00,,,,,,,"157,2",89,12,,,,"82,0","28,5","113,0","0,0",0,"0,000",
Добывающая,4001G,КУСТ-1,,РАБ.,ФОН,Да,,НП4,2308,"416,2","760,0","24,0","102,5","123,0","2,0","148,2","166,3","1129,5","6,98","1,5","0,0",250,,3/14/2020,2/29/2020,102,123,123,1805,"1,05","0,850","1,176","1,06","1,005",3070,3685,719,,14/03/2020 2:00:00,Фонтанный лифт с ТМСП,,,,,,"157,2",73,12,,,,"95,0","28,9","117,0","142,4",0,"0,000",
Добывающая,148R,,,РАБ.,ФОН,Да,,НП4,1857,"0,2","15,2","11,8","43,9","52,2","1,0","124,0","135,7","748,3","4,64","49,2","0,0",250,,8/25/2020,8/20/2020,44,52,52,1665,"1,05","0,850","1,176","1,05","1,005",1318,1566,720,,25/08/2020 2:00:01,фонтанный лифт,,,,,,"124,0",73,8,,,,"95,0","28,0","105,0","0,0",0,"0,000",
Добывающая,4055G2,КУСТ-3,мая.2021,РАБ.,ФОН,Да,,НП4,2841,"931,6","1186,7","13,5","164,2","210,0","8,0","130,3","163,2","1154,7","6,97","1,0","0,0",250,,8/18/2019,8/6/2019,164,210,210,1301,"1,05","0,850","1,176","1,08","1,005",5091,6510,744,,18/08/2019 2:00:00,,,,,,,"157,2",89,12,,,,"75,0","25,5","110,0","0,0",0,"0,000",
Добывающая,4001G,КУСТ-1,,РАБ.,ФОН,Да,,НП4,2308,"416,2","760,0","24,0","103,3","124,0","2,0","146,9","166,3","1078,1","6,66","1,4","0,0",250,,3/14/2020,2/29/2020,103,124,124,1815,"1,05","0,850","1,176","1,06","1,005",3202,3844,744,,14/03/2020 2:00:00,Фонтанный лифт с ТМСП,,,,,,"157,2",73,12,,,,"96,0","29,3","121,0","141,3",0,"0,000",
