Скважина,Дата,Пласт,ГИС,Тип,Перфоратор,N отв,Hнач(md),Hкон(md),Hнач(abs),Hкон(abs),"Hнач(abs,тр)","Hкон(abs,тр)",Плотность,Открыт
146R,29.03.1984,НП5-1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,1898.0,1902.0,1852.2,1856.2,1852.2,1856.2,12,Да
203R,24.08.2020,НП5/1а,,ПЕРЕСТРЕЛ,Щелевой фильтр,10,1898.0,1899.0,1856.8,1857.8,1856.8,1857.8,10,Да
203R,29.08.2020,НП5/1а,,ПЕРЕСТРЕЛ,Щелевой фильтр,10,1898.0,1899.0,1856.8,1857.8,1856.8,1857.8,10,Да
203R,02.09.2020,НП5/1а,,ПЕРЕСТРЕЛ,Щелевой фильтр,10,1898.0,1899.0,1856.8,1857.8,1856.8,1857.8,10,Да
203R,15.08.2020,НП5/1а,,ПЕРЕСТРЕЛ,Щелевой фильтр,130,1899.0,1912.0,1857.8,1870.8,1857.8,1870.8,10,Да
203R,24.08.2020,НП5/1а,,ПЕРЕСТРЕЛ,Щелевой фильтр,130,1899.0,1912.0,1857.8,1870.8,1857.8,1870.8,10,Да
203R,29.08.2020,НП5/1а,,ПЕРЕСТРЕЛ,Щелевой фильтр,130,1899.0,1912.0,1857.8,1870.8,1857.8,1870.8,10,Да
203R,02.09.2020,НП5/1а,,ПЕРЕСТРЕЛ,Щелевой фильтр,130,1899.0,1912.0,1857.8,1870.8,1857.8,1870.8,10,Да
113R,19.08.1983,БЯ23,,ПЕРВИЧ.ПЕРФ.,ПКО-89,72,1900.0,1906.0,1853.6,1859.6,1853.7,1859.7,12,Да
160R,06.08.1984,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,160,1900.0,1913.0,1850.9,1863.9,1850.9,1863.9,12,Да
179R,18.04.1986,НП1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,1900.0,1904.0,1854.5,1858.5,1854.5,1858.5,12,Да
95R,31.07.2018,НП2-3,,ДОСТРЕЛ,ЗПКО-102ПП,160,1900.0,1908.0,1860.3,1868.3,1860.3,1868.3,20,Да
144R,17.07.1984,НП5-2,,ПЕРВИЧ.ПЕРФ.,Пкс-80,36,1901.0,1904.0,1873.1,1876.0,1873.1,1876.1,12,Да
180R,24.03.1986,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,1901.0,1905.0,1847.3,1851.3,1847.3,1851.3,12,Да
178R,01.12.1985,НП1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,168,1902.0,1916.0,1853.9,1867.9,1853.9,1867.9,12,Да
67R,01.07.1968,НП5-1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,91,1902.0,1915.0,1857.9,1870.9,1857.9,1870.9,7,Да
50R,22.12.1964,НП5/1а,,ПЕРВИЧ.ПЕРФ.,,0,1902.5,1908.0,1870.2,1875.7,1870.2,1875.7,0,Да
83R,21.10.1979,НП5-2,,ПЕРВИЧ.ПЕРФ.,Пкс-80,120,1903.0,1913.0,1858.8,1868.8,1858.8,1868.8,12,Да
133R,15.06.1982,НП5-1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,36,1904.0,1910.0,1885.9,1891.9,1885.9,1891.9,6,Да
156R,06.11.1985,НП1,,ПЕРВИЧ.ПЕРФ.,Пкс-105,24,1904.0,1908.0,1852.3,1856.3,1852.3,1856.3,6,Да
159R,09.08.1986,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ПР-43,30,1904.0,1907.0,1859.4,1862.4,1859.4,1862.4,10,Да
161R,30.06.1984,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,96,1904.0,1912.0,1857.8,1865.8,1857.8,1865.8,12,Да
143R,11.11.1984,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,120,1905.0,1915.0,1846.7,1856.7,1846.7,1856.7,12,Да
176R,31.03.2014,НП2-3,,ПЕРВИЧ.ПЕРФ.,ЗКПО-ПП-30БО+ЗКПО-ПП-30ГП,200,1905.0,1915.0,1853.0,1863.0,1853.0,1863.0,20,Да
63R,19.03.1969,НП4,НП4,ПЕРВИЧ.ПЕРФ.,,30,1905.0,1910.0,1854.6,1859.6,1854.6,1859.6,6,Нет
63R,20.03.1969,НП4,НП4,ЗАЛИВКА,,0,1905.0,1910.0,1854.6,1859.6,1854.6,1859.6,0,Нет
78R,04.07.1968,НП5-2,,ПЕРВИЧ.ПЕРФ.,Пкс-80,56,1905.0,1913.0,1861.3,1869.3,1861.3,1869.3,7,Да
170R,10.06.1985,НП5-2,,ПЕРВИЧ.ПЕРФ.,Пкс-80,84,1906.0,1913.0,1861.2,1868.1,1861.1,1868.1,12,Да
176R,02.07.1985,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,1907.0,1912.0,1855.0,1860.0,1855.0,1860.0,12,Да
114R,29.03.1985,НП5-1,,ПЕРВИЧ.ПЕРФ.,ПР-43,80,1908.0,1916.0,1866.7,1874.7,1866.7,1874.7,10,Да
144R,22.07.1984,НП5-2,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,1908.0,1912.0,1880.0,1884.0,1880.1,1884.1,12,Да
119R,09.07.1984,НП1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,120,1909.0,1914.0,1847.9,1852.9,1847.9,1852.9,24,Да
156R,03.11.1985,НП1,,ПЕРВИЧ.ПЕРФ.,ПР-43,40,1909.0,1913.0,1857.3,1861.3,1857.3,1861.3,10,Да
156R,11.11.1985,НП1,,ПЕРЕСТРЕЛ,Пкс-105,40,1909.0,1913.0,1857.3,1861.3,1857.3,1861.3,10,Да
104R,19.10.1982,БЯ24,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-105,60,1910.0,1915.0,1868.2,1873.2,1868.2,1873.2,12,Да
131R,23.04.1983,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-80,120,1910.0,1920.0,1854.4,1864.4,1854.5,1864.4,12,Да
55R,02.06.1966,НП4,НП4,ПЕРВИЧ.ПЕРФ.,КПР-65,156,1910.0,1923.0,1878.6,1891.6,1878.6,1891.6,12,Да
80R,15.09.1968,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-80,36,1910.0,1916.0,1867.2,1873.2,1867.2,1873.2,6,Да
86R,20.08.1980,НП1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,30,1910.0,1915.0,1851.7,1856.7,1851.7,1856.7,6,Да
203R,15.08.2020,НП5/1а,,ДОСТРЕЛ,Щелевой фильтр,0,1912.0,1913.0,1870.8,1871.8,1870.8,1871.8,0,Да
172R,15.06.1985,НП5-1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,1914.0,1920.0,1863.3,1869.3,1863.3,1869.3,12,Да
160R,01.08.1984,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,120,1916.0,1926.0,1866.9,1876.9,1866.9,1876.9,12,Да
116R,24.11.1983,,НП4,,Oткрытый ствол ( без фильтрa),0,1918.0,2030.0,1868.9,1980.8,1868.9,1980.8,0,Да
120R,12.03.1985,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,1918.0,1922.0,1864.1,1868.1,1864.1,1868.1,12,Да
79R,28.01.1969,НП6,,ПЕРВИЧ.ПЕРФ.,Пк-103,60,1918.0,1923.0,1898.9,1903.9,1898.9,1903.9,12,Да
73R,13.03.1968,НП5-1,,ПЕРВИЧ.ПЕРФ.,Пк-103,110,1919.0,1930.0,1867.4,1878.4,1867.4,1878.4,10,Да
128R,07.06.1990,НП6,,ПЕРВИЧ.ПЕРФ.,Пр-54,50,1920.0,1925.0,1890.9,1895.9,1890.8,1895.8,10,Да
170R,04.06.1985,НП5-2,,ПЕРВИЧ.ПЕРФ.,Пкс-80,108,1921.0,1930.0,1876.1,1885.1,1876.1,1885.1,12,Да
171R,02.10.1985,НП5-1,,ПЕРВИЧ.ПЕРФ.,ПР-43,40,1921.0,1925.0,1872.2,1876.2,1872.2,1876.2,10,Да
179R,09.04.1986,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,144,1922.0,1928.0,1876.5,1882.5,1876.5,1882.5,24,Да
86R,13.08.1980,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,96,1924.0,1932.0,1865.7,1873.7,1865.7,1873.7,12,Да
144R,11.07.1984,НП6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,24,1925.0,1927.0,1897.0,1899.0,1897.1,1899.1,12,Да
146R,26.03.1984,НП7,,ЩЕЛ.ФИЛЬТР ХВОСТ,Цементный мост,0,1925.0,1983.0,1879.2,1937.2,1879.2,1937.2,0,Нет
162R,26.03.1984,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,1925.0,1930.0,1864.2,1869.2,1864.2,1869.2,12,Да
170R,26.05.1985,НП5-2,,ПЕРВИЧ.ПЕРФ.,ПР-43,50,1925.0,1930.0,1880.1,1885.1,1880.1,1885.1,10,Да
178R,26.11.1985,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,1925.0,1930.0,1876.9,1881.9,1876.9,1881.9,12,Да
123R,02.07.1982,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,1926.0,1932.0,1868.4,1874.4,1868.4,1874.4,12,Да
78R,26.06.1968,НП6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,42,1926.0,1932.0,1882.3,1888.3,1882.3,1888.3,7,Да
87R,26.09.1981,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,1928.0,1932.0,1866.2,1870.2,1866.2,1870.2,12,Да
179R,01.04.1986,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,1932.0,1936.0,1886.5,1890.5,1886.5,1890.5,12,Да
160R,21.07.1984,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,1935.0,1940.0,1885.9,1890.9,1885.9,1890.9,12,Да
170R,18.05.1985,НП6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,1936.0,1940.0,1891.1,1895.1,1891.1,1895.1,12,Да
161R,23.06.1984,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-80,70,1940.0,1946.0,1893.8,1899.8,1893.8,1899.8,12,Да
71R,25.09.1967,БЯ23,,ПЕРВИЧ.ПЕРФ.,Пк-103,120,1940.0,1948.0,1890.3,1898.3,1890.3,1898.3,15,Да
113R,14.08.1983,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ПКО-89,96,1942.0,1950.0,1895.6,1903.6,1895.6,1903.6,12,Да
53R,06.07.1966,НП7,,ПЕРВИЧ.ПЕРФ.,КПР-65,24,1943.0,1945.0,1895.3,1897.3,1895.3,1897.3,12,Да
178R,16.11.1985,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,108,1944.0,1953.0,1895.9,1904.9,1895.9,1904.9,12,Да
160R,27.07.1984,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-80,70,1948.0,1954.0,1898.9,1904.9,1898.9,1904.9,12,Да
64R,20.05.1969,НП5-1,,ПЕРВИЧ.ПЕРФ.,Пк-103,50,1949.0,1954.0,1905.4,1910.4,1905.4,1910.4,10,Да
9003,22.11.2016,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ЗКПО-114ПП-30ГП+ЗКПО-114ПП-30БО,200,1954.0,1964.0,1824.0,1834.0,1824.0,1834.0,20,Да
53R,06.07.1966,НП8,,ПЕРВИЧ.ПЕРФ.,КПР-65,48,1955.0,1959.0,1907.3,1911.3,1907.3,1911.3,12,Да
167R,15.09.1985,НП8,,ЩЕЛ.ФИЛЬТР ХВОСТ,Цементный мост,0,1956.0,2010.0,1910.9,1964.9,1910.9,1964.9,0,Да
167R,20.05.2012,НП8,,,Д1-105,0,1956.0,2010.0,1910.9,1964.9,1910.9,1964.9,0,Да
79R,27.01.1969,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,1957.0,1967.0,1937.9,1947.9,1937.9,1947.9,6,Да
115R,05.05.1983,НП5-1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,36,1958.0,1961.0,1907.6,1910.6,1907.6,1910.6,12,Да
141R,01.11.2014,,,,Д1-105 + фильтр,0,1959.0,2000.0,1937.7,1978.7,1937.7,1978.7,0,Да
146R,18.03.1984,НП7,,ПЕРВИЧ.ПЕРФ.,,0,1959.0,1963.0,1913.2,1917.2,1913.2,1917.2,0,Нет
141R,26.05.1984,,,ЩЕЛ.ФИЛЬТР ХВОСТ,Цементный мост,0,1960.0,2004.0,1938.7,1982.7,1938.7,1982.7,0,Частично
51R,24.08.1966,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пк-103,140,1960.0,1970.0,1918.7,1928.7,1918.7,1928.7,14,Да
71R,20.09.1967,НП1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,28,1960.0,1964.0,1910.3,1914.3,1910.3,1914.3,7,Да
141R,26.05.1984,НП8,,ЗАЛИВКА,,0,1963.0,2004.0,1941.7,1982.7,1941.7,1982.7,0,Частично
83R,24.04.1979,НП8,,ПЕРВИЧ.ПЕРФ.,ЗПКС-80,66,1964.5,1970.0,1920.3,1925.8,1920.3,1925.8,12,Да
149R,13.12.1984,,,ЗАЛИВКА,,0,1965.0,1984.0,1921.0,1940.0,1921.0,1940.0,0,Нет
117R,05.03.1982,НП1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,1966.0,1972.0,1907.5,1913.5,1907.5,1913.5,12,Да
144R,05.07.1984,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,84,1967.0,1974.0,1939.0,1946.0,1939.1,1946.1,12,Да
144R,08.04.2019,НП8,,ПЕРВИЧ.ПЕРФ.,,0,1967.0,1995.0,1939.0,1967.0,1939.1,1967.1,0,Да
66R,27.04.1967,БЯ23,,ПЕРВИЧ.ПЕРФ.,ПКР-55,30,1967.0,1970.0,1913.5,1916.5,1913.5,1916.5,10,Да
124R,29.04.1982,НП1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,1970.0,1976.0,1911.2,1917.2,1911.2,1917.2,12,Да
128R,29.04.1990,НП8,,ПЕРВИЧ.ПЕРФ.,Пр-54,60,1970.0,1976.0,1940.9,1946.9,1940.8,1946.8,10,Да
133R,02.06.1982,НП7,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,1972.0,1976.0,1953.9,1957.9,1953.9,1957.9,12,Да
148R,13.04.1984,НП8,,ПЕРВИЧ.ПЕРФ.,ЗПКС-80,216,1972.0,1990.0,1950.4,1968.4,1950.4,1968.3,12,Да
148R,22.04.1984,НП8,,ЗАЛИВКА,,0,1972.0,1990.0,1950.4,1968.4,1950.4,1968.3,0,Да
148R,23.11.2014,НП8,,ПЕРЕСТРЕЛ,ЗПКО-105ПП-30ГП,180,1972.0,1990.0,1950.4,1968.4,1950.4,1968.3,10,Да
152R,11.10.1984,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,96,1972.0,1980.0,1931.3,1939.3,1931.3,1939.3,12,Да
79R,13.01.1968,НП8,,ПЕРВИЧ.ПЕРФ.,Пк-103,75,1973.0,1978.0,1953.9,1958.9,1953.9,1958.9,15,Да
57R,08.08.1966,НП1,,ПЕРВИЧ.ПЕРФ.,Пк-103,150,1974.0,1989.0,1930.3,1945.3,1930.3,1945.3,10,Да
79R,08.01.1969,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,30,1975.0,1980.0,1955.9,1960.9,1955.9,1960.9,6,Да
144R,28.06.1984,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,84,1977.0,1984.0,1949.0,1956.0,1949.1,1956.1,12,Да
55R,25.05.1966,НП5/1а,,ПЕРВИЧ.ПЕРФ.,ПКО-86,55,1978.0,1985.0,1946.6,1953.6,1946.6,1953.6,8,Да
146R,15.03.1984,Ю2-6,,ЩЕЛ.ФИЛЬТР ХВОСТ,Цементный мост,0,1980.0,2018.0,1934.2,1972.2,1934.2,1972.2,0,Нет
82R,24.10.1979,НП8,,ДОСТРЕЛ,Пкс-80,180,1980.0,1995.0,1936.0,1951.0,1936.0,1951.0,12,Да
82R,24.10.1979,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,180,1980.0,1995.0,1936.0,1951.0,1936.0,1951.0,12,Да
82R,30.04.2014,НП8,,ДОСТРЕЛ,Пкс-80,120,1980.0,1990.0,1936.0,1946.0,1936.0,1946.0,12,Да
82R,12.02.2021,НП8,,ДОСТРЕЛ,Пкс-80,5,1980.0,1980.4,1936.0,1936.4,1936.0,1936.4,12,Да
82R,12.02.2021,НП8,,ПЕРЕСТРЕЛ,Скорпион ПП 25 ГП (89),154,1980.4,1987.4,1936.4,1943.4,1936.4,1943.4,22,Да
R2-1,14.02.2016,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ЗКПО-114ПП-30ГП+ЗКПО-114ПП-30БО,320,1981.0,1997.0,1822.5,1838.5,1822.5,1838.5,20,Нет
R2-1,15.02.2016,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ЗКПО-114ПП-30ГП+ЗКПО-114ПП-30БО,160,1981.0,1989.0,1822.5,1830.5,1822.5,1830.5,20,Нет
R2-1,08.08.2019,НП4,НП4,ЗАЛИВКА,,0,1981.0,1997.0,1822.5,1838.5,1822.5,1838.5,0,Нет
78R,19.06.1968,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,56,1982.0,1990.0,1938.3,1946.3,1938.3,1946.3,7,Да
141R,21.05.1984,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,1983.0,1989.0,1961.7,1967.7,1961.7,1967.7,12,Да
141R,10.11.2014,НП8,,ДОСТРЕЛ,ЗКПО-ПП-30БО,110,1983.0,1993.7,1961.7,1972.4,1961.7,1972.4,10,Да
141R,27.02.2015,НП8,,ПЕРЕСТРЕЛ,ГРП,110,1983.0,1993.7,1961.7,1972.4,1961.7,1972.4,10,Да
9003,09.11.2016,НП5/1а,,ДОСТРЕЛ,ЗКПО-114ПП-30ГП+ЗКПО-114ПП-30БО,40,1983.5,1985.5,1853.5,1855.5,1853.5,1855.5,20,Нет
9003,20.11.2016,НП5/1а,,ЗАЛИВКА,,0,1983.5,1985.5,1853.5,1855.5,1853.5,1855.5,0,Нет
149R,03.12.1984,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,1984.0,1990.0,1940.0,1946.0,1940.0,1946.0,12,Да
170R,12.05.1985,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,1985.0,1990.0,1940.1,1945.1,1940.1,1945.1,12,Да
82R,12.02.2021,НП8,,ДОСТРЕЛ,Пкс-80,31,1987.4,1990.0,1943.4,1946.0,1943.4,1946.0,12,Да
R2-1,15.02.2016,НП4,НП4,ПЕРЕСТРЕЛ,ЗКПО-114ПП-30ГП+ЗКПО-114ПП-30БО,320,1989.0,1997.0,1830.5,1838.5,1830.5,1838.5,40,Нет
82R,03.05.2014,НП8,,ПЕРЕСТРЕЛ,ЗПКОПП-102ГП+ЗПКОПП-102БО,204,1989.8,2000.0,1945.8,1956.0,1945.8,1956.0,20,Да
133R,13.05.1982,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,1990.0,1995.0,1971.9,1976.9,1971.9,1976.9,12,Да
82R,30.04.2014,НП8,,ПЕРЕСТРЕЛ,ЗПКО-102ПП,160,1990.0,1995.0,1946.0,1951.0,1946.0,1951.0,32,Да
82R,12.02.2021,НП8,,ПЕРЕСТРЕЛ,ЗПКО-102ПП,147,1990.0,1994.6,1946.0,1950.6,1946.0,1950.6,32,Да
144R,22.06.1984,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,1991.0,1996.0,1963.0,1968.0,1963.1,1968.1,12,Да
9003,09.11.2016,НП5/1а,,ДОСТРЕЛ,ЗКПО-114ПП-30ГП+ЗКПО-114ПП-30БО,80,1991.0,1995.0,1861.0,1865.0,1861.0,1865.0,20,Нет
9003,20.11.2016,НП5/1а,,ЗАЛИВКА,,0,1991.0,1995.0,1861.0,1865.0,1861.0,1865.0,0,Нет
141R,27.02.2015,НП8,,ДОСТРЕЛ,ГРП,0,1993.7,1994.0,1972.4,1972.7,1972.4,1972.7,0,Да
78R,10.06.1968,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,42,1994.0,2000.0,1950.3,1956.3,1950.3,1956.3,7,Да
96R,20.08.1983,НП8,,ПЕРВИЧ.ПЕРФ.,,0,1994.0,1999.0,1970.7,1975.7,1970.7,1975.7,0,Да
82R,12.02.2021,НП8,,ПЕРЕСТРЕЛ,Скорпион ПП 25 ГП (89),17,1994.6,1995.0,1950.6,1951.0,1950.6,1951.0,42,Да
82R,13.10.1979,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,1995.0,2001.0,1951.0,1957.0,1951.0,1957.0,12,Да
82R,13.10.1979,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,1995.0,2001.0,1951.0,1957.0,1951.0,1957.0,12,Да
82R,30.04.2014,НП8,,ПЕРЕСТРЕЛ,ЗПКО-102ПП,160,1995.0,2000.0,1951.0,1956.0,1951.0,1956.0,32,Да
82R,12.02.2021,НП8,,ПЕРЕСТРЕЛ,Скорпион ПП 25 ГП (89),196,1995.0,2000.0,1951.0,1956.0,1951.0,1956.0,39,Да
55R,25.05.1966,НП1,,ПЕРВИЧ.ПЕРФ.,ПКО-86,55,1998.0,2005.0,1966.6,1973.6,1966.6,1973.6,8,Да
71R,14.09.1967,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пк-103,120,1998.0,2006.0,1948.3,1956.3,1948.3,1956.3,15,Да
77R,19.10.1967,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пк-103,195,1998.0,2011.0,1946.1,1959.1,1946.0,1959.0,15,Да
9003,05.11.2016,НП5/1а,,ПЕРВИЧ.ПЕРФ.,ЗКПО-114ПП-30ГП+ЗКПО-114ПП-30БО,40,1998.0,2000.0,1868.0,1870.0,1868.0,1870.0,20,Нет
9003,20.11.2016,НП5/1а,,ЗАЛИВКА,,0,1998.0,2000.0,1868.0,1870.0,1868.0,1870.0,0,Нет
R2-1,14.02.2016,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ЗКПО-114ПП-30ГП+ЗКПО-114ПП-30БО,100,1999.0,2004.0,1840.5,1845.5,1840.5,1845.5,20,Нет
R2-1,15.02.2016,НП4,НП4,ПЕРЕСТРЕЛ,ЗКПО-114ПП-30ГП+ЗКПО-114ПП-30БО,200,1999.0,2004.0,1840.5,1845.5,1840.5,1845.5,40,Нет
R2-1,08.08.2019,НП4,НП4,ЗАЛИВКА,,0,1999.0,2007.0,1840.5,1848.5,1840.5,1848.5,0,Нет
129R,16.09.1981,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,30,2000.0,2005.0,1947.0,1952.0,1947.1,1952.1,6,Да
148R,13.04.1984,,,ЩЕЛ.ФИЛЬТР ХВОСТ,Цементный мост,0,2000.0,2050.0,1978.4,2028.4,1978.3,2028.3,0,Да
148R,22.04.1984,,,,,0,2000.0,2050.0,1978.4,2028.4,1978.3,2028.3,0,Да
82R,30.04.2014,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,12,2000.0,2001.0,1956.0,1957.0,1956.0,1957.0,12,Да
114R,17.02.2014,НП8,,ПЕРВИЧ.ПЕРФ.,ЗКПО-ПП-30Б +30ГП,320,2002.0,2018.0,1960.7,1976.7,1960.7,1976.6,20,Да
114R,17.02.2014,НП8,,ПЕРЕСТРЕЛ,ЗКПО-ПП-30БО+ЗКПО-ПП-30ГП,320,2002.0,2018.0,1960.7,1976.7,1960.7,1976.6,20,Да
123R,18.06.1982,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,432,2002.0,2020.0,1944.4,1962.4,1944.4,1962.4,24,Да
139R,20.01.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,168,2002.0,2016.0,1941.6,1955.6,1941.6,1955.6,12,Да
140R,12.10.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,2004.0,2010.0,1956.4,1962.4,1956.4,1962.4,12,Да
146R,07.03.1984,Ю2-6,,ДОСТРЕЛ,Пкс-80,0,2004.0,2012.0,1958.2,1966.2,1958.2,1966.2,0,Нет
146R,07.03.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,96,2004.0,2012.0,1958.2,1966.2,1958.2,1966.2,12,Нет
R2-1,15.02.2016,НП4,НП4,ДОСТРЕЛ,ЗКПО-114ПП-30ГП+ЗКПО-114ПП-30БО,60,2004.0,2007.0,1845.5,1848.5,1845.5,1848.5,20,Нет
53R,29.06.1966,Ю2-6,,ПЕРВИЧ.ПЕРФ.,,96,2005.0,2013.0,1957.3,1965.3,1957.3,1965.3,12,Да
114R,21.03.1985,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,120,2010.0,2020.0,1968.7,1978.7,1968.7,1978.6,12,Да
123R,16.06.1982,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,120,2010.0,2020.0,1952.4,1962.4,1952.4,1962.4,12,Да
177R,21.05.1987,НП8,,ПЕРВИЧ.ПЕРФ.,Пр-54,70,2010.0,2017.0,1976.1,1983.1,1976.1,1983.1,10,Да
177R,28.05.1987,НП8,,ПЕРВИЧ.ПЕРФ.,Пр-54,120,2010.0,2022.0,1976.1,1988.1,1976.1,1988.1,10,Да
112R,09.11.1986,НП7,,ПЕРВИЧ.ПЕРФ.,ПР-43,30,2012.0,2015.0,1981.9,1984.9,1981.9,1984.9,10,Да
146R,05.03.1984,Ю2-6,,ЩЕЛ.ФИЛЬТР ХВОСТ,Цементный мост,0,2012.0,2048.0,1966.2,2002.2,1966.2,2002.2,0,Нет
80R,29.08.1968,НП6,,ПЕРВИЧ.ПЕРФ.,Пк-103,70,2012.0,2017.0,1969.2,1974.2,1969.2,1974.2,14,Да
160R,13.07.1984,НП5-1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,70,2014.0,2020.0,1964.9,1970.9,1964.9,1970.9,12,Да
147R,23.01.1984,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,2016.0,2020.0,1981.4,1985.3,1981.4,1985.4,12,Да
121R,05.01.1983,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,36,2020.0,2023.0,1990.9,1993.9,1990.9,1993.9,12,Да
170R,07.05.1985,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,84,2020.0,2027.0,1975.1,1982.1,1975.0,1982.0,12,Да
128R,01.04.1990,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пр-54,60,2022.0,2028.0,1992.9,1998.9,1992.8,1998.8,10,Да
158R,16.02.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,,0,2026.0,2054.0,1979.0,2007.0,1979.0,2006.9,0,Да
158R,16.02.1984,Ю2-6,,,Oткрытый ствол ( без фильтрa),0,2026.0,2054.0,1979.0,2007.0,1979.0,2006.9,0,Да
146R,27.02.1984,Ю2-6,,ДОСТРЕЛ,Пкс-80,0,2028.0,2032.0,1982.2,1986.2,1982.2,1986.2,0,Нет
146R,27.02.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,2028.0,2032.0,1982.2,1986.2,1982.2,1986.2,12,Нет
119R,26.06.1984,Ю2-6,,ПЕРВИЧ.ПЕРФ.,Пкс-80,96,2030.0,2038.0,1968.9,1976.9,1968.9,1976.9,12,Да
121R,29.12.1982,НП8,,ПЕРВИЧ.ПЕРФ.,Пкс-80,36,2030.0,2033.0,2000.9,2003.9,2000.9,2003.9,12,Да
