Скважина,Дата,Пласт,ГИС,Тип,Перфоратор,N отв,Hнач(md),Hкон(md),Hнач(abs),Hкон(abs),"Hнач(abs,тр)","Hкон(abs,тр)",Плотность,Открыт
67R,02.06.1968,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ПК-105,154,1858.0,1869.0,1813.9,1824.9,1813.9,1824.9,14,Да
72R,19.08.1967,БЯ23,,ПЕРВИЧ.ПЕРФ.,Пк-103,135,1858.0,1867.0,1809.8,1818.8,1809.8,1818.8,15,Да
64R,08.04.2021,НП2-3,,ПЕРВИЧ.ПЕРФ.,Скорпион ПП 25 ГП (89),220,1858.8,1869.8,1815.2,1826.2,1815.2,1826.2,20,Да
64R,30.05.1969,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пк-103,110,1859.0,1870.0,1815.4,1826.4,1815.4,1826.4,10,Да
114R,02.04.1985,БЯ24,НП4,ПЕРВИЧ.ПЕРФ.,ПР-43,40,1860.0,1864.0,1818.7,1822.7,1818.7,1822.7,10,Да
152R,26.10.1984,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-80,84,1860.0,1867.0,1819.3,1826.3,1819.3,1826.3,12,Да
152R,11.05.2017,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ЗПКО-102ПП,120,1860.0,1866.0,1819.3,1825.3,1819.3,1825.3,20,Да
77R,28.11.1967,НП5-1,НП4,ПЕРВИЧ.ПЕРФ.,Пк-103,330,1860.0,1882.0,1808.2,1830.2,1808.2,1830.2,15,Да
144R,14.08.1984,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ПР-43,30,1861.0,1864.0,1833.1,1836.1,1833.1,1836.1,10,Да
109R,29.06.1983,НП2-3,,ПЕРВИЧ.ПЕРФ.,ПКО-89,36,1862.0,1868.0,1842.3,1848.3,1842.3,1848.3,6,Да
101R,30.01.1982,БЯ23,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,1863.0,1869.0,1842.3,1848.3,1842.3,1848.3,12,Да
177R,09.06.1987,БЯ24,НП4,ПЕРВИЧ.ПЕРФ.,Пр-54,70,1863.0,1870.0,1829.1,1836.1,1829.1,1836.1,10,Да
120R,06.04.1985,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,1864.0,1868.0,1810.1,1814.1,1810.1,1814.1,12,Да
131R,07.05.1983,НП1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,24,1864.0,1868.0,1808.4,1812.4,1808.5,1812.5,6,Да
148R,05.05.1984,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ЗПКС-80,60,1864.0,1869.0,1842.4,1847.4,1842.4,1847.4,12,Да
148R,23.11.2014,НП4,НП4,ПЕРЕСТРЕЛ,ЗПКО-105ПП-30ГП,110,1864.0,1869.0,1842.4,1847.4,1842.4,1847.4,22,Да
134R,05.07.1983,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,108,1865.0,1874.0,1816.7,1825.7,1816.7,1825.7,12,Да
141R,27.01.1984,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-80,50,1865.0,1870.0,1843.8,1848.8,1843.8,1848.8,10,Да
141R,28.01.1984,НП4,НП4,ПЕРЕСТРЕЛ,ЗПКО -80 АТ,110,1865.0,1870.0,1843.8,1848.8,1843.8,1848.8,22,Да
141R,26.05.1984,НП4,НП4,ПЕРЕСТРЕЛ,Пкс-80,170,1865.0,1870.0,1843.8,1848.8,1843.8,1848.8,34,Да
141R,01.04.2012,НП4,НП4,ПЕРЕСТРЕЛ,ПКО-89АТ,220,1865.0,1870.0,1843.8,1848.8,1843.8,1848.8,44,Да
141R,10.11.2014,НП4,НП4,ПЕРЕСТРЕЛ,ЗКПО-ПП-30БО,270,1865.0,1870.0,1843.8,1848.8,1843.8,1848.8,54,Да
101R,21.01.1982,БЯ23,,ПЕРВИЧ.ПЕРФ.,Пкс-80,36,1869.0,1872.0,1848.3,1851.3,1848.3,1851.3,12,Да
148R,23.11.2014,НП4,НП4,ДОСТРЕЛ,ЗПКО-105ПП-30ГП,30,1869.0,1872.0,1847.4,1850.4,1847.4,1850.4,10,Да
55R,11.06.1966,БЯ23,,ПЕРВИЧ.ПЕРФ.,ПКО-103,70,1869.0,1876.0,1837.6,1844.6,1837.6,1844.6,10,Да
141R,28.01.1984,НП4,НП4,ДОСТРЕЛ,ЗПКО -80 АТ,144,1870.0,1882.0,1848.8,1860.8,1848.8,1860.8,12,Да
141R,01.04.2012,НП4,НП4,ПЕРЕСТРЕЛ,ПКО-89АТ,264,1870.0,1882.0,1848.8,1860.8,1848.8,1860.8,22,Да
141R,10.11.2014,НП4,НП4,ПЕРЕСТРЕЛ,ЗКПО-ПП-30БО,384,1870.0,1882.0,1848.8,1860.8,1848.8,1860.8,32,Да
148R,29.04.1984,НП4,НП4,ЩЕЛ.ФИЛЬТР ХВОСТ,Цементный мост,0,1870.0,1876.0,1848.4,1854.4,1848.4,1854.4,0,Частично
159R,23.08.1986,НП2-3,,ПЕРВИЧ.ПЕРФ.,ПР-43,50,1870.0,1875.0,1825.4,1830.4,1825.4,1830.4,10,Да
59R,21.06.1969,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пк-103,80,1870.0,1878.0,1824.6,1832.6,1824.7,1832.7,10,Да
63R,25.04.1969,,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,1870.0,1878.0,1819.6,1827.6,1819.6,1827.6,6,Да
85R,07.09.1980,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-80,120,1870.0,1880.0,1819.3,1829.3,1819.3,1829.3,12,Да
92R,28.12.2018,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Скорпион ПП 25 ГП (89),320,1870.0,1886.0,1824.9,1840.9,1824.9,1840.9,20,Да
112R,22.11.1986,БЯ23,,ПЕРВИЧ.ПЕРФ.,ПР-43,50,1871.0,1876.0,1840.9,1845.9,1840.9,1845.9,10,Да
171R,06.10.1985,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ПР-43,60,1871.0,1877.0,1822.2,1828.1,1822.2,1828.2,10,Да
111R,12.01.1983,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,1872.0,1876.2,1827.4,1831.6,1827.4,1831.6,14,Да
172R,27.06.1985,НП4,НП4,ДОСТРЕЛ,ЗПКС-80,48,1872.0,1876.0,1821.3,1825.3,1821.3,1825.3,12,Да
172R,27.06.1985,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,1872.0,1876.0,1821.3,1825.3,1821.3,1825.3,12,Да
121R,14.02.1983,БЯ23,,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,1873.0,1879.0,1843.9,1849.9,1843.9,1849.9,12,Да
143R,28.11.1984,БЯ23,,ПЕРВИЧ.ПЕРФ.,Пкс-80,40,1873.0,1877.0,1814.7,1818.7,1814.7,1818.7,10,Да
79R,02.02.1969,НП5-1,,ПЕРВИЧ.ПЕРФ.,Пк-103,50,1873.0,1878.0,1853.9,1858.9,1853.9,1858.9,10,Да
121R,08.02.1983,БЯ23,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,1874.0,1879.0,1844.9,1849.9,1844.9,1849.9,12,Да
128R,07.06.1990,НП5-1,,ПЕРВИЧ.ПЕРФ.,ПР-43,30,1875.0,1878.0,1845.9,1848.9,1845.9,1848.9,10,Да
147R,01.02.1984,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,228,1875.0,1894.0,1840.5,1859.5,1840.5,1859.5,12,Да
131R,30.04.1983,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,96,1876.0,1884.0,1820.4,1828.4,1820.5,1828.5,12,Да
175R,19.04.1985,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-80,96,1876.0,1884.0,1844.4,1852.4,1844.4,1852.4,12,Да
171R,17.10.1985,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-80,30,1877.0,1882.0,1828.1,1833.2,1828.2,1833.2,6,Да
159R,17.08.1986,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,120,1878.0,1888.0,1833.4,1843.4,1833.4,1843.4,12,Да
109R,09.06.1983,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,1880.0,1884.0,1860.3,1864.3,1860.3,1864.3,12,Да
129R,20.09.1981,НП5-1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,1880.0,1884.0,1827.2,1831.2,1827.2,1831.2,12,Да
132R,15.02.1983,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,1880.0,1884.0,1828.5,1832.5,1828.5,1832.5,12,Да
132R,14.12.2019,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Скорпион ПП 25 ГП (89),220,1880.0,1891.0,1828.5,1839.5,1828.5,1839.5,20,Да
160R,15.08.1984,НП1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,60,1880.0,1885.0,1830.9,1835.9,1830.9,1835.9,12,Да
120R,26.03.1985,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,84,1881.0,1888.0,1827.1,1834.1,1827.1,1834.1,12,Да
141R,10.11.2014,НП4,НП4,ДОСТРЕЛ,ЗКПО-ПП-30БО,28,1882.0,1884.8,1860.8,1863.6,1860.8,1863.6,10,Да
180R,20.04.1986,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пр-54,40,1882.0,1886.0,1828.3,1832.3,1828.3,1832.3,10,Да
146R,23.04.1984,НП5/1а,,ПЕРВИЧ.ПЕРФ.,Пкс-80,0,1884.0,1894.0,1838.2,1848.2,1838.2,1848.2,0,Да
